State,Month,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Death By Road Type,Type_of_Junction,Type_of_Accident,Vehicle_Type,Death By Vehicle Type,Driver_Age_Group,Num_Vehicles_Involved,Category_Of_Num_Vehicles,Total_Death_Crashes_By_Category,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,Speeding_Violation,Speeding_Factor,Hospital_Distance_Range,Population,"Deaths per 100,000 population",Deaths Due To Alcohol Involvement,Percentage Of Seat Belt Usage,Deaths With Seat Belt,Deaths Without Seat Belt
Maine,1,Sunday,21:29:41,Rainy,Dry,Night,Highway,2,Overpass,Run-off-road,Pedestrian,21,Senior,5,Multiple-vehicle,73,2.0,35.0,2.285691553,4.464218014,775.9353156,9.759526054,0.964200922,9.0,21.58373228,False,0.2571428571428571,0-3 km,1385340,13.1,82,93,58,65
Oklahoma,1,Thursday,16:03:01,Sunny,Icy,Daylight,Freeway,0,T-Junction,Side collision,Car,197,Teenager,3,Multiple-vehicle,349,3.0,35.0,0.410802433,2.928321205,508.5120781,8.762142638,0.814444763,86.0,25.88411902,False,2.4571428571428573,0-3 km,4019800,17.7,304,80,193,223
Virginia,1,Thursday,12:41:36,Foggy,Muddy,Daylight,Street,3,Underpass,Rollover,Bicycle,11,Senior,4,Multiple-vehicle,429,0.0,33.0,6.985103704,1.934392173,640.1685792,3.386180325,0.392276494,32.0,14.4488746,False,0.9696969696969696,6-10 km,8683619,11.6,414,76,280,379
Colorado,1,Sunday,15:58:18,Sunny,Muddy,Daylight,Freeway,2,Intersection,Side collision,Bicycle,15,Young Adult,2,Multiple-vehicle,367,0.0,34.0,6.794072308,3.075313392,938.2212966,5.84961177,0.454494502,22.0,5.317610112,False,0.6470588235294118,6-10 km,5839926,13.1,288,87,225,235
New Mexico,2,Sunday,19:15:52,Stormy,Wet,Night,Rural,264,Crossroads,Cyclist involved,Motorcycle,54,Adult,2,Multiple-vehicle,210,2.0,70.0,6.716449713,3.630357764,590.5118053,8.197108775,0.469392766,51.0,13.23956226,False,0.7285714285714285,6-10 km,2113344,22.1,150,90,119,148
New York,1,Saturday,07:34:41,Sunny,Snowy,Daylight,Street,2,Overpass,Head-on collision,Pedestrian,303,Adult,1,Single-vehicle,688,0.0,50.0,5.812907666,9.907456825,939.1711863,5.663541327,0.584986243,79.0,9.406797208,True,1.58,3-6 km,19677151,6.0,282,92,324,203
Maryland,1,Sunday,08:38:38,Foggy,Dry,Daylight,Rural,31,Underpass,Cyclist involved,Truck,6,Senior,4,Multiple-vehicle,274,2.0,59.0,5.924417054,1.494747884,224.3378612,4.393611674,0.214894588,66.0,13.27816381,True,1.11864406779661,3-6 km,6164660,9.1,208,93,154,150
Illinois,2,Thursday,08:55:46,Foggy,Snowy,Daylight,Urban,872,Underpass,Side collision,Bicycle,31,Teenager,2,Multiple-vehicle,647,3.0,59.0,6.462187817,5.283115663,927.1958262,4.742831173,0.66291542,93.0,10.56945064,False,1.576271186440678,6-10 km,12582032,10.1,367,93,339,276
Louisiana,2,Friday,09:16:32,Stormy,Dry,Daylight,Street,14,Roundabout,Rollover,Pedestrian,181,Adult,3,Multiple-vehicle,391,0.0,35.0,5.598054732,7.712662143,594.3851222,7.189684272,0.78964148,46.0,10.91628041,True,1.3142857142857145,3-6 km,4590241,19.7,362,86,205,282
New Mexico,1,Sunday,21:40:16,Stormy,Wet,Night,Freeway,0,T-Junction,Head-on collision,Bicycle,4,Senior,4,Multiple-vehicle,210,1.0,39.0,4.973011458,6.918007668,234.8411624,9.13854414,0.426617767,39.0,22.35620402,False,1.0,3-6 km,2113344,22.1,150,90,119,148
Wyoming,1,Friday,23:25:32,Foggy,Muddy,Night,Rural,114,Roundabout,Cyclist involved,Bicycle,1,Adult,1,Single-vehicle,84,3.0,66.0,3.695043854,3.959342906,789.0808524,5.169583137,0.53048605,59.0,20.74232051,False,0.8939393939393939,3-6 km,581381,23.0,42,78,26,61
Vermont,2,Sunday,11:16:03,Foggy,Wet,Daylight,Street,0,Crossroads,Head-on collision,Motorcycle,14,Senior,5,Multiple-vehicle,33,1.0,69.0,0.800186751,5.578194325,644.0417307,4.418227982,0.130152981,77.0,20.74232051,True,1.115942028985507,0-3 km,647064,11.7,31,90,18,27
South Carolina,1,Saturday,23:54:29,Stormy,Dry,Night,Highway,0,T-Junction,Cyclist involved,Truck,13,Senior,1,Single-vehicle,603,1.0,61.0,8.251660106,8.092584277,384.9842224,8.034913149,0.613387974,31.0,25.74472111,False,0.5081967213114754,6-10 km,5282634,20.7,441,91,284,380
Minnesota,2,Tuesday,06:14:28,Foggy,Wet,Daylight,Rural,235,T-Junction,Rollover,Motorcycle,82,Teenager,3,Multiple-vehicle,224,0.0,53.0,3.157472165,5.057224205,944.2259022,3.692312495,0.152263325,77.0,5.225473363,True,1.4528301886792452,3-6 km,5717184,7.8,160,93,154,80
Maryland,2,Wednesday,11:59:47,Rainy,Snowy,Daylight,Urban,526,T-Junction,Cyclist involved,Car,211,Adult,3,Multiple-vehicle,274,2.0,57.0,6.96950346,9.361935046,582.2327337,7.775621666,0.550873806,91.0,29.09231094,True,1.5964912280701755,6-10 km,6164660,9.1,208,93,154,150
Washington,2,Friday,06:55:10,Foggy,Icy,Daylight,Highway,6,Overpass,Cyclist involved,Truck,12,Young Adult,1,Single-vehicle,391,0.0,57.0,0.450172358,1.056101894,826.4554638,3.711810885,0.128823804,52.0,29.09231094,False,0.912280701754386,0-3 km,7785786,9.4,240,94,212,156
New Mexico,1,Saturday,03:00:31,Stormy,Dry,Night,Highway,0,Overpass,Pedestrian involved,Truck,16,Adult,3,Multiple-vehicle,210,1.0,57.0,5.662487313,3.922303411,626.3037322,4.973868397,0.104455121,64.0,13.24553121,True,1.1228070175438596,3-6 km,2113344,22.1,150,90,119,148
Mississippi,2,Saturday,09:50:29,Stormy,Snowy,Daylight,Highway,28,Underpass,Cyclist involved,Motorcycle,52,Adult,1,Single-vehicle,395,2.0,54.0,7.761093824,0.535287398,559.8384493,3.704049629,0.52551364,49.0,8.100221098,False,0.9074074074074074,6-10 km,2940057,23.9,17,79,227,200
Washington,1,Thursday,10:29:32,Snowy,Wet,Daylight,Rural,293,Underpass,Cyclist involved,Pedestrian,126,Adult,5,Multiple-vehicle,342,2.0,30.0,7.586882326,1.574513183,560.2431206,3.883227864,0.746120694,76.0,21.64500769,True,2.533333333333333,6-10 km,7785786,9.4,240,94,212,156
South Dakota,2,Friday,09:20:19,Rainy,Muddy,Daylight,Freeway,0,Underpass,Pedestrian involved,Pedestrian,11,Young Adult,3,Multiple-vehicle,61,0.0,43.0,3.626574968,4.018671545,524.6418112,9.186488663,0.899853722,52.0,6.746472517,True,1.2093023255813953,3-6 km,909824,15.1,28,88,35,51
Massachusetts,1,Thursday,15:37:29,Foggy,Muddy,Daylight,Rural,30,Overpass,Pedestrian involved,Motorcycle,57,Young Adult,1,Single-vehicle,266,1.0,35.0,5.710927437,2.637719935,710.1971551,7.564372486,0.362417232,78.0,6.746472517,True,2.2285714285714286,3-6 km,6981974,6.2,204,77,96,137
Maryland,2,Tuesday,22:50:27,Snowy,Icy,Night,Rural,31,T-Junction,Head-on collision,Motorcycle,77,Young Adult,4,Multiple-vehicle,274,1.0,35.0,4.958477792,4.781342436,631.4400262,8.00542316,0.711035345,15.0,22.99255256,False,0.4285714285714285,3-6 km,6164660,9.1,208,93,154,150
Hawaii,2,Tuesday,09:39:36,Stormy,Dry,Daylight,Urban,101,Roundabout,Rear-end collision,Pedestrian,28,Senior,2,Multiple-vehicle,50,2.0,41.0,8.54276312,1.756429797,527.5678497,3.248173188,0.780092375,41.0,17.96586898,False,1.0,6-10 km,1440196,8.1,28,96,24,16
Minnesota,1,Friday,03:58:15,Sunny,Wet,Night,Freeway,3,Overpass,Side collision,Bicycle,6,Teenager,4,Multiple-vehicle,224,2.0,36.0,4.774923547,7.959814309,778.1864267,6.511556178,0.39448972,69.0,26.57138897,True,1.9166666666666667,3-6 km,5717184,7.8,160,93,154,80
New Mexico,2,Tuesday,12:51:40,Rainy,Muddy,Daylight,Highway,0,Roundabout,Run-off-road,Car,123,Adult,2,Multiple-vehicle,210,0.0,42.0,8.916406585,6.378225386,801.3697619,9.222556937,0.720199487,50.0,15.64847164,True,1.1904761904761905,6-10 km,2113344,22.1,150,90,119,148
Wyoming,1,Wednesday,08:26:54,Foggy,Snowy,Daylight,Freeway,1,Crossroads,Head-on collision,Motorcycle,20,Adult,2,Multiple-vehicle,50,3.0,42.0,8.517319804,1.681408521,382.2955334,7.374214999,0.839934757,62.0,26.60870683,True,1.4761904761904765,6-10 km,581381,23.0,42,78,26,61
Missouri,2,Wednesday,00:41:59,Sunny,Snowy,Night,Urban,504,T-Junction,Head-on collision,Pedestrian,128,Senior,5,Multiple-vehicle,495,0.0,30.0,7.317667394,7.857937822,801.9108437,6.405544149,0.107184464,73.0,29.73953727,True,2.433333333333333,6-10 km,6177957,17.1,396,89,245,369
Texas,2,Monday,12:48:35,Rainy,Dry,Daylight,Urban,2,Roundabout,Pedestrian involved,Motorcycle,564,Young Adult,1,Single-vehicle,2,3.0,70.0,3.511599006,5.595658188,863.53072,7.049043839,0.773430124,62.0,8.672665083,False,0.8857142857142857,3-6 km,30029572,14.7,1,90,1,1
North Dakota,2,Saturday,17:34:44,Rainy,Muddy,Daylight,Urban,16,Roundabout,Rear-end collision,Car,13,Senior,5,Multiple-vehicle,55,1.0,70.0,5.527226503,0.153531394,924.4586383,5.208594097,0.422473113,51.0,8.126420219,False,0.7285714285714285,3-6 km,779261,12.6,41,81,13,41
Missouri,2,Tuesday,09:03:13,Stormy,Dry,Daylight,Street,3,T-Junction,Cyclist involved,Truck,32,Young Adult,5,Multiple-vehicle,495,0.0,42.0,6.944253878,3.556418158,554.1425457,4.156121184,0.235374389,63.0,15.58303233,True,1.5,6-10 km,6177957,17.1,396,89,245,369
Hawaii,1,Friday,18:22:22,Sunny,Icy,Dusk,Urban,101,T-Junction,Rollover,Truck,1,Young Adult,1,Single-vehicle,66,1.0,39.0,5.826124851,4.03053846,666.4652689,9.557814778,0.672335258,63.0,26.9770632,False,1.6153846153846154,3-6 km,1440196,8.1,28,96,24,16
Vermont,2,Wednesday,16:44:47,Rainy,Muddy,Daylight,Rural,64,Roundabout,Pedestrian involved,Truck,5,Senior,3,Multiple-vehicle,33,3.0,33.0,6.923547874,2.420880274,418.4303021,4.164915758,0.718368318,72.0,19.0661512,True,2.1818181818181817,6-10 km,647064,11.7,31,90,18,27
New Jersey,1,Monday,11:26:31,Stormy,Snowy,Daylight,Highway,5,Overpass,Side collision,Truck,17,Young Adult,5,Multiple-vehicle,328,3.0,35.0,5.978360256,0.26173232,373.6038365,9.048314362,0.451183562,18.0,28.24794712,False,0.5142857142857142,3-6 km,9261699,7.4,235,93,196,141
Alaska,2,Monday,19:22:58,Foggy,Muddy,Night,Highway,2,Overpass,Rear-end collision,Pedestrian,13,Senior,4,Multiple-vehicle,44,0.0,61.0,1.489865377,1.815323928,433.8075203,5.605773431,0.786088211,18.0,28.24794712,False,0.2950819672131147,0-3 km,733583,11.2,39,92,31,17
North Carolina,1,Monday,09:22:29,Stormy,Dry,Daylight,Freeway,0,Crossroads,Head-on collision,Car,649,Young Adult,4,Multiple-vehicle,753,2.0,59.0,8.214043153,1.630369298,735.3501666,6.967953024,0.248932309,81.0,28.24794712,True,1.3728813559322033,6-10 km,10698973,15.2,384,91,530,512
Idaho,2,Sunday,20:05:47,Rainy,Muddy,Night,Freeway,0,T-Junction,Cyclist involved,Pedestrian,16,Adult,5,Multiple-vehicle,102,2.0,50.0,2.588331586,5.457915297,412.7140148,5.456640344,0.195826559,37.0,22.26196033,False,0.74,0-3 km,1939033,11.1,80,88,54,84
Hawaii,1,Friday,18:37:14,Stormy,Muddy,Dusk,Street,1,Roundabout,Rear-end collision,Truck,1,Adult,3,Multiple-vehicle,50,3.0,43.0,2.638183787,6.38474399,246.6701322,8.071984822,0.303032595,15.0,23.30640439,False,0.3488372093023256,0-3 km,1440196,8.1,28,96,24,16
Colorado,1,Monday,00:48:45,Foggy,Wet,Night,Urban,463,Overpass,Run-off-road,Bicycle,15,Teenager,5,Multiple-vehicle,367,1.0,67.0,1.861808977,4.040236599,315.8711729,4.44649016,0.547395893,55.0,25.80723533,False,0.8208955223880597,0-3 km,5839926,13.1,288,87,225,235
Arkansas,1,Thursday,02:46:09,Rainy,Wet,Night,Rural,359,Roundabout,Run-off-road,Bicycle,6,Teenager,4,Multiple-vehicle,317,1.0,31.0,2.300951503,4.044933768,484.8643641,9.059502612,0.640849122,88.0,6.666457836,True,2.838709677419355,0-3 km,3045637,21.1,237,79,165,191
Missouri,1,Thursday,16:13:58,Stormy,Icy,Daylight,Urban,504,Intersection,Cyclist involved,Truck,32,Young Adult,5,Multiple-vehicle,495,0.0,52.0,3.490347554,8.727461917,466.7543504,8.764422858,0.874374431,88.0,16.21693379,False,1.6923076923076923,3-6 km,6177957,17.1,396,89,245,369
Delaware,1,Sunday,06:11:56,Sunny,Snowy,Daylight,Rural,81,Crossroads,Cyclist involved,Motorcycle,22,Adult,2,Multiple-vehicle,95,2.0,59.0,4.270962115,4.546924993,871.2308369,3.931668031,0.289020354,3.0,19.9836987,False,0.0508474576271186,3-6 km,1018396,15.9,46,90,61,36
Wisconsin,1,Tuesday,22:46:28,Rainy,Wet,Night,Freeway,1,Crossroads,Rear-end collision,Car,233,Adult,5,Multiple-vehicle,276,0.0,38.0,3.770984948,7.540765014,257.6916179,6.276256829,0.841568394,18.0,19.9836987,False,0.4736842105263157,3-6 km,5892539,10.1,60,88,166,166
New Jersey,1,Wednesday,08:43:51,Rainy,Wet,Daylight,Highway,5,Roundabout,Head-on collision,Car,220,Teenager,5,Multiple-vehicle,328,3.0,39.0,1.352031159,3.78337809,440.4240283,9.514061062,0.231691549,18.0,19.9836987,False,0.4615384615384615,0-3 km,9261699,7.4,235,93,196,141
Indiana,1,Wednesday,01:47:27,Rainy,Wet,Night,Urban,379,Overpass,Side collision,Pedestrian,114,Young Adult,1,Single-vehicle,466,3.0,66.0,1.131837523,0.381430458,595.5505833,9.744843544,0.199706511,21.0,19.9836987,False,0.3181818181818182,0-3 km,6833037,13.9,127,93,261,232
Wyoming,2,Monday,08:20:28,Snowy,Dry,Daylight,Freeway,1,Intersection,Head-on collision,Truck,12,Adult,3,Multiple-vehicle,50,1.0,30.0,1.160730148,8.525392,842.8048501,8.098312863,0.443237837,95.0,5.866365912,True,3.1666666666666665,0-3 km,581381,23.0,42,78,26,61
Alaska,2,Saturday,04:55:20,Sunny,Wet,Night,Highway,2,T-Junction,Rear-end collision,Car,27,Teenager,4,Multiple-vehicle,44,1.0,52.0,3.666131944,8.444446252,606.9845535,4.906860986,0.400724936,90.0,9.547167045,True,1.7307692307692308,3-6 km,733583,11.2,39,92,31,17
Delaware,1,Friday,13:15:20,Rainy,Muddy,Daylight,Street,0,T-Junction,Rollover,Truck,1,Teenager,1,Single-vehicle,67,1.0,42.0,9.334115123,9.530864447,732.412453,3.703933675,0.912445531,90.0,22.32613862,False,2.142857142857143,6-10 km,1018396,15.9,46,90,61,36
Oklahoma,1,Friday,21:51:33,Snowy,Wet,Night,Urban,288,T-Junction,Rollover,Motorcycle,93,Senior,4,Multiple-vehicle,349,0.0,55.0,8.928125608,6.679840739,169.9479389,7.74162928,0.333106943,53.0,17.02831808,False,0.9636363636363636,6-10 km,4019800,17.7,304,80,193,223
Montana,1,Sunday,03:04:35,Snowy,Dry,Night,Rural,168,Underpass,Run-off-road,Motorcycle,37,Adult,3,Multiple-vehicle,91,0.0,67.0,5.320729035,3.50685717,909.9258341,6.888849636,0.995481477,99.0,14.60181955,True,1.4776119402985075,3-6 km,1122867,19.0,97,93,52,85
Alaska,2,Wednesday,08:41:39,Snowy,Snowy,Daylight,Highway,2,Underpass,Side collision,Pedestrian,13,Teenager,1,Single-vehicle,38,0.0,31.0,5.025884433,4.469240326,168.1869501,4.012183802,0.247687084,99.0,20.14002153,False,3.193548387096774,3-6 km,733583,11.2,39,92,31,17
Nevada,1,Saturday,22:58:45,Stormy,Wet,Night,Freeway,0,Underpass,Cyclist involved,Pedestrian,83,Adult,2,Multiple-vehicle,181,1.0,64.0,2.862847269,9.241082102,161.0948029,6.028519379,0.214053558,99.0,20.14002153,False,1.546875,0-3 km,3177772,13.1,110,93,87,84
Utah,1,Saturday,17:03:03,Foggy,Wet,Daylight,Highway,0,Intersection,Rollover,Bicycle,15,Senior,4,Multiple-vehicle,139,1.0,37.0,9.167358804,2.207262901,148.1419836,7.989173065,0.513204979,64.0,20.14002153,True,1.7297297297297298,6-10 km,3380800,9.4,117,90,80,87
Vermont,2,Friday,17:20:47,Snowy,Wet,Daylight,Freeway,0,Intersection,Side collision,Bicycle,1,Adult,2,Multiple-vehicle,33,1.0,33.0,0.213139006,3.013555869,891.7992723,5.592736731,0.535394255,71.0,16.93039391,True,2.1515151515151514,0-3 km,647064,11.7,31,90,18,27
Hawaii,1,Monday,09:38:12,Foggy,Snowy,Daylight,Freeway,1,Intersection,Side collision,Truck,1,Adult,3,Multiple-vehicle,50,1.0,42.0,2.663488866,9.666694797,749.1943759,6.525698763,0.679083646,44.0,21.76160006,True,1.0476190476190477,0-3 km,1440196,8.1,28,96,24,16
Pennsylvania,1,Tuesday,05:06:13,Sunny,Muddy,Dawn,Urban,689,Intersection,Rollover,Motorcycle,217,Adult,4,Multiple-vehicle,575,1.0,67.0,6.069486119,8.542546314,210.2528861,4.454364172,0.327506017,22.0,21.76160006,False,0.3283582089552239,6-10 km,12972008,9.1,320,90,263,342
Oregon,1,Saturday,01:34:58,Snowy,Icy,Night,Highway,0,Overpass,Head-on collision,Car,191,Young Adult,4,Multiple-vehicle,265,3.0,52.0,2.012472408,1.355293127,220.1168542,7.453377331,0.544760595,72.0,21.96598513,True,1.3846153846153846,0-3 km,4240137,14.2,210,97,193,110
Nevada,1,Thursday,15:14:51,Stormy,Icy,Daylight,Freeway,0,Intersection,Rollover,Car,116,Senior,5,Multiple-vehicle,181,2.0,67.0,8.619681178,6.734142364,125.4645595,6.294169403,0.749654688,83.0,13.73086153,True,1.2388059701492538,6-10 km,3177772,13.1,110,93,87,84
Vermont,1,Friday,21:26:31,Rainy,Snowy,Night,Street,0,T-Junction,Side collision,Truck,5,Senior,4,Multiple-vehicle,33,1.0,53.0,9.476528645,4.614975571,504.3099911,7.220852946,0.497921,62.0,9.436498214,True,1.169811320754717,6-10 km,647064,11.7,31,90,18,27
North Carolina,2,Wednesday,03:11:13,Rainy,Muddy,Night,Urban,664,T-Junction,Head-on collision,Motorcycle,220,Senior,3,Multiple-vehicle,753,0.0,42.0,3.995490853,5.031869309,237.9837135,7.698007212,0.215822654,80.0,24.71526229,True,1.9047619047619049,3-6 km,10698973,15.2,384,91,530,512
New York,1,Wednesday,20:41:12,Foggy,Snowy,Night,Street,2,Underpass,Pedestrian involved,Pedestrian,303,Young Adult,2,Multiple-vehicle,487,0.0,42.0,6.948208594,4.933199326,918.8710252,8.1908829,0.811754306,42.0,24.71526229,False,1.0,6-10 km,19677151,6.0,282,92,324,203
Hawaii,1,Tuesday,03:29:13,Rainy,Icy,Night,Freeway,1,Crossroads,Side collision,Bicycle,7,Adult,1,Single-vehicle,66,2.0,34.0,3.538265467,4.984411045,158.1964887,6.166973778,0.193026993,83.0,16.24196895,True,2.4411764705882355,3-6 km,1440196,8.1,28,96,24,16
New Mexico,1,Saturday,10:42:44,Snowy,Wet,Daylight,Freeway,0,Roundabout,Head-on collision,Car,123,Adult,1,Single-vehicle,256,0.0,47.0,7.895418662,9.738228707,289.6965406,9.467010336,0.474148428,84.0,24.65993236,True,1.7872340425531914,6-10 km,2113344,22.1,150,90,119,148
Louisiana,2,Friday,04:54:36,Foggy,Dry,Night,Freeway,14,Crossroads,Rollover,Pedestrian,181,Teenager,3,Multiple-vehicle,391,0.0,62.0,2.387901648,6.872133628,312.4798272,8.070239606,0.937765082,18.0,19.79233228,False,0.2903225806451613,0-3 km,4590241,19.7,362,86,205,282
Alabama,2,Wednesday,22:04:25,Snowy,Muddy,Night,Rural,549,Crossroads,Cyclist involved,Truck,30,Young Adult,2,Multiple-vehicle,457,2.0,59.0,5.012053635,6.806031018,687.0428871,9.895493561,0.424038526,55.0,12.23145494,False,0.9322033898305084,3-6 km,5074296,19.5,344,93,283,364
Kentucky,1,Sunday,02:45:32,Stormy,Dry,Night,Street,1,Intersection,Head-on collision,Truck,17,Teenager,2,Multiple-vehicle,336,2.0,65.0,6.902966516,4.523490959,318.79997,7.542493311,0.387333492,42.0,16.64651573,False,0.6461538461538462,6-10 km,4512310,16.5,275,87,230,256
West Virginia,1,Thursday,12:52:14,Sunny,Wet,Daylight,Freeway,1,T-Junction,Cyclist involved,Car,72,Adult,1,Single-vehicle,161,0.0,46.0,1.231179982,1.570027385,325.6761593,7.938274719,0.289146723,95.0,11.54700464,True,2.065217391304348,0-3 km,1775156,14.9,102,93,57,85
Arkansas,2,Tuesday,04:43:50,Sunny,Icy,Night,Rural,359,Underpass,Side collision,Truck,13,Senior,4,Multiple-vehicle,317,0.0,61.0,9.497488249,7.662865198,900.2267102,9.40608069,0.734873308,39.0,7.701885838,False,0.639344262295082,6-10 km,3045637,21.1,237,79,165,191
Washington,1,Friday,22:58:05,Rainy,Dry,Night,Urban,434,Underpass,Head-on collision,Car,240,Young Adult,2,Multiple-vehicle,342,0.0,61.0,6.450163134,7.194631094,514.5905323,9.240641067,0.254912796,29.0,26.78436312,False,0.4754098360655737,6-10 km,7785786,9.4,240,94,212,156
Massachusetts,2,Saturday,20:34:27,Stormy,Icy,Night,Freeway,4,Intersection,Cyclist involved,Bicycle,9,Adult,3,Multiple-vehicle,168,3.0,43.0,7.726524526,9.555564341,718.8277678,9.616255721,0.797739802,95.0,13.45551752,True,2.2093023255813957,6-10 km,6981974,6.2,204,77,96,137
Wyoming,2,Monday,15:47:28,Stormy,Icy,Daylight,Rural,114,T-Junction,Pedestrian involved,Truck,12,Adult,5,Multiple-vehicle,50,3.0,57.0,1.594258504,4.158307661,137.1254549,9.052509904,0.343321261,47.0,20.41783458,False,0.8245614035087719,0-3 km,581381,23.0,42,78,26,61
Hawaii,1,Friday,21:58:55,Stormy,Dry,Night,Rural,14,Roundabout,Head-on collision,Bicycle,7,Senior,1,Single-vehicle,66,3.0,56.0,2.493456655,8.76349278,702.5884799,3.66425891,0.536099405,36.0,20.41783458,False,0.6428571428571429,0-3 km,1440196,8.1,28,96,24,16
Hawaii,2,Saturday,04:46:11,Sunny,Icy,Night,Urban,101,Underpass,Head-on collision,Truck,1,Teenager,4,Multiple-vehicle,50,3.0,36.0,3.544481928,9.665218776,162.0239129,5.352615132,0.706038718,90.0,8.001443819,True,2.5,3-6 km,1440196,8.1,28,96,24,16
West Virginia,2,Saturday,09:26:56,Rainy,Icy,Daylight,Urban,89,T-Junction,Rear-end collision,Car,72,Young Adult,2,Multiple-vehicle,103,3.0,55.0,3.054340302,5.256747326,558.1249059,6.586597522,0.65044148,34.0,21.13811753,False,0.6181818181818182,3-6 km,1775156,14.9,102,93,57,85
South Dakota,1,Sunday,13:07:49,Sunny,Snowy,Daylight,Rural,109,Crossroads,Side collision,Truck,4,Young Adult,2,Multiple-vehicle,61,2.0,65.0,1.497573866,6.948083281,327.7270345,9.027711589,0.140258284,88.0,21.13811753,True,1.353846153846154,0-3 km,909824,15.1,28,88,35,51
Illinois,2,Sunday,15:13:45,Foggy,Wet,Daylight,Rural,388,Underpass,Side collision,Car,474,Senior,4,Multiple-vehicle,647,1.0,33.0,8.522023161,8.905849268,199.521882,7.710173933,0.96866781,92.0,22.61817516,True,2.787878787878788,6-10 km,12582032,10.1,367,93,339,276
New York,2,Wednesday,20:37:13,Sunny,Dry,Night,Street,2,Underpass,Side collision,Car,327,Adult,3,Multiple-vehicle,487,1.0,40.0,0.908559813,8.616347475,847.4711884,8.525556707,0.959564711,24.0,28.00584955,False,0.6,0-3 km,19677151,6.0,282,92,324,203
New Jersey,2,Thursday,01:30:59,Stormy,Wet,Night,Urban,613,Underpass,Run-off-road,Bicycle,18,Senior,3,Multiple-vehicle,328,0.0,49.0,0.929047227,9.542743402,197.0402639,4.470608469,0.951090369,71.0,14.30168372,True,1.4489795918367347,0-3 km,9261699,7.4,235,93,196,141
Arizona,2,Sunday,05:14:40,Rainy,Wet,Dawn,Rural,400,Underpass,Head-on collision,Pedestrian,295,Adult,4,Multiple-vehicle,608,1.0,56.0,1.784633335,7.864516481,476.653089,5.031837906,0.101670378,11.0,16.96085741,False,0.1964285714285714,0-3 km,7359197,17.7,189,87,241,269
Idaho,2,Thursday,19:37:16,Stormy,Icy,Night,Street,0,Overpass,Cyclist involved,Motorcycle,27,Adult,2,Multiple-vehicle,102,2.0,60.0,9.854361021,9.848566653,811.9455605,9.233539967,0.448503625,93.0,5.856897123,True,1.55,6-10 km,1939033,11.1,80,88,54,84
Washington,2,Tuesday,08:28:18,Foggy,Dry,Daylight,Freeway,6,Overpass,Run-off-road,Truck,12,Teenager,2,Multiple-vehicle,342,1.0,38.0,8.086727959,4.738501481,269.0308048,6.290155031,0.790568051,93.0,5.666924274,False,2.4473684210526314,6-10 km,7785786,9.4,240,94,212,156
Michigan,1,Thursday,13:05:13,Snowy,Muddy,Daylight,Rural,425,Crossroads,Side collision,Motorcycle,179,Adult,4,Multiple-vehicle,546,0.0,43.0,2.483851502,5.529709475,666.83489,4.60880947,0.469054438,53.0,14.5509622,True,1.2325581395348837,0-3 km,10034113,11.2,180,93,333,233
Kansas,2,Tuesday,04:01:44,Sunny,Snowy,Night,Highway,1,Intersection,Cyclist involved,Car,140,Senior,5,Multiple-vehicle,190,0.0,45.0,6.285181481,2.338249528,415.8016194,4.60880947,0.681746632,25.0,23.09258009,False,0.5555555555555556,6-10 km,2937150,14.0,116,87,114,148
New Hampshire,2,Wednesday,08:22:00,Sunny,Snowy,Daylight,Urban,69,Intersection,Rollover,Truck,1,Teenager,4,Multiple-vehicle,64,1.0,63.0,2.224267011,1.683045732,169.7630129,8.772667756,0.249959542,36.0,26.96915728,False,0.5714285714285714,0-3 km,1395231,10.5,66,77,26,55
Washington,1,Wednesday,21:03:26,Rainy,Dry,Night,Rural,293,Roundabout,Rear-end collision,Motorcycle,133,Senior,4,Multiple-vehicle,342,0.0,65.0,9.776050198,8.128948039,337.365333,9.701662051,0.264389035,67.0,6.751993118,True,1.0307692307692309,6-10 km,7785786,9.4,240,94,212,156
Rhode Island,1,Thursday,03:40:39,Foggy,Snowy,Night,Highway,1,Roundabout,Side collision,Truck,1,Adult,1,Single-vehicle,37,3.0,35.0,0.585286948,2.377600068,923.7101045,3.238841537,0.26467599,67.0,5.516824983,False,1.9142857142857144,0-3 km,1093734,4.8,22,87,14,19
New York,2,Thursday,03:42:41,Stormy,Dry,Night,Urban,895,Overpass,Run-off-road,Motorcycle,185,Teenager,4,Multiple-vehicle,487,1.0,32.0,6.401870225,2.006117506,489.0896916,8.265975217,0.539883855,48.0,8.46270935,True,1.5,6-10 km,19677151,6.0,282,92,324,203
Connecticut,2,Saturday,09:12:19,Stormy,Dry,Daylight,Urban,313,T-Junction,Rollover,Pedestrian,68,Teenager,5,Multiple-vehicle,170,3.0,32.0,9.99962016,3.442732062,949.2316411,8.196718615,0.432435539,48.0,15.80707452,False,1.5,6-10 km,3626205,9.9,141,92,83,76
